mat_code,alt_uom,counter,denominator,ean_num,ean_upc,ean_category,unit_of_weight
3000001,BOX,18,1,,25116458,IK,
3000001,KG,1,1,,25116441,IK,KG
3000003,CV,20,1,,25116472,IK,
3000003,KG,1,1,,25116465,IK,KG
3000004,GAL,3860,1000,,25116496,IK,
3000004,KG,1,1,,25116489,IK,KG
3000005,BAG,25,1,,25116519,IK,
3000005,KG,1,1,,25116502,IK,KG
3000006,BAG,25,1,,25116533,IK,
3000006,KG,1,1,,25116526,IK,KG
3000008,BAG,25,1,,25116557,IK,
3000008,KG,1,1,,25116540,IK,KG
3000009,BOX,10,1,,25116571,IK,
3000009,KG,1,1,,25116564,IK,KG
3000010,CS6,4,1,,25116595,IK,
3000010,KG,1,1,,25116588,IK,KG
3000011,KG,1,1,,25116601,IK,KG
3000012,KG,1,1,,25116618,IK,KG
3000013,BAG,10,1,,25331974,IK,
3000013,KG,1,1,,25331967,IK,KG
3000014,BOX,10,1,,25116649,IK,
3000014,KG,1,1,,25116632,IK,KG
3000017,BAG,10,1,,25331950,IK,
3000017,KG,1,1,,25331943,IK,KG
3000018,G,1,1000,,25331936,IK,
3000018,KG,1,1,,25331929,IK,KG
3000018,PAC,1,10,,,,
3000019,KG,1,1,,25116670,IK,KG
3000021,DR,250,1,,25116694,IK,
3000021,KG,1,1,,25116687,IK,KG
3000022,BAG,50,1,,25116717,IK,
3000022,KG,1,1,,25116700,IK,KG
3000025,PC,1,1,,25116724,IK,KG
3000027,PC,1,1,,25116731,IK,KG
3000028,KG,1,1,,25116748,IK,KG
3000029,BOX,1,1,,,,
3000029,KG,1,1,,25331912,IK,KG
3000029,PAC,1,10,,25331905,IK,
3000159,bnh,1,1,,25116779,IK,
3000159,PC,1,1,,25116762,IK,KG
3000160,bnh,1,1,,25116793,IK,
3000160,PC,1,1,,25116786,IK,KG
3000161,bnh,1,1,,25116816,IK,
3000161,PC,1,1,,25116809,IK,KG
3000163,BOX,15,1,,25116830,IK,
3000163,set,1,1,,25116823,IK,KG
3000164,PC,1,1,,25116847,IK,KG
3000165,PC,1,1,,25116854,IK,KG
3000166,PC,1,1,,25116861,IK,KG
3000167,PC,1,1,,25116878,IK,KG
3000168,PC,1,1,,25116885,IK,KG
3000169,PC,1,1,,25116892,IK,KG
3000170,PC,1,1,,25116908,IK,KG
3000171,PC,1,1,,25116915,IK,KG
3000172,PC,1,1,,25116922,IK,KG
3000173,PC,1,1,,25116939,IK,KG
3000174,set,1,1,,25116946,IK,KG
3000175,PC,1,1,,25116953,IK,KG
3000176,PC,1,1,,25116960,IK,KG
3000177,PC,1,1,,25116977,IK,KG
3000178,PC,1,1,,25116984,IK,KG
3000179,set,1,1,,25117004,IK,
3000179,PC,1,1,,25116991,IK,KG
3000180,PC,1,1,,25117011,IK,KG
3000181,PC,1,1,,25117028,IK,KG
3000182,PC,1,1,,25117035,IK,KG
3000183,PC,1,1,,25117042,IK,KG
3000184,set,1,1,,25117059,IK,KG
3000185,PC,1,1,,25117066,IK,KG
3000186,PC,1,1,,25117073,IK,KG
3000187,PC,1,1,,25117080,IK,KG
3000188,set,1,1,,25117097,IK,KG
3000189,PC,1,1,,25117103,IK,KG
3000198,BOX,24,1,,25117127,IK,
3000198,TR,1,1,,25117110,IK,KG
3000200,PC,1,1,,25117134,IK,KG
3000201,PC,1,1,,25117141,IK,KG
3000202,set,1,1,,25117158,IK,KG
3000203,PC,1,1,,25117165,IK,KG
3000204,PC,1,1,,25117172,IK,KG
3000205,PC,1,1,,25117189,IK,KG
3000206,PC,1,1,,25117196,IK,KG
3000207,PC,1,1,,25117202,IK,KG
3000208,set,1,1,,25117219,IK,KG
3000209,set,1,1,,25117233,IK,
3000209,PC,1,1,,25117226,IK,KG
3000210,set,1,1,,25117257,IK,
3000210,PC,1,1,,25117240,IK,KG
3000211,set,1,1,,25117271,IK,
3000211,PC,1,1,,25117264,IK,KG
3000212,set,1,1,,25117288,IK,KG
3000213,PC,1,1,,25117295,IK,KG
3000214,PC,1,1,,25117301,IK,KG
3000215,set,1,1,,25117325,IK,
3000215,PC,1,1,,25117318,IK,KG
3000216,set,1,1,,25117332,IK,KG
3000217,set,1,1,,25117349,IK,KG
3000218,PC,1,1,,25117356,IK,KG
3000219,PC,1,1,,25117363,IK,KG
3000220,PC,1,1,,25117370,IK,KG
3000221,PC,1,1,,25117387,IK,KG
3000222,PC,1,1,,25117394,IK,KG
3000223,set,1,1,,25117417,IK,
3000223,PC,1,1,,25117400,IK,KG
3000224,set,1,1,,25117424,IK,KG
3000225,set,1,1,,25117431,IK,KG
3000226,set,1,1,,25117455,IK,
3000226,PC,1,1,,25117448,IK,KG
3000227,set,1,1,,25117479,IK,
3000227,PC,1,1,,25117462,IK,KG
3000228,PC,1,1,,25117486,IK,KG
3000229,set,1,1,,25117493,IK,KG
3000230,set,1,1,,25117516,IK,
3000230,PC,1,1,,25117509,IK,KG
3000231,PC,1,1,,25117523,IK,KG
3000231,TR,50,1,,25117530,IK,
3000232,set,1,1,,25117547,IK,KG
3000232,TR,3,1,,25117554,IK,
3000233,set,1,1,,25117561,IK,KG
3000236,BOX,1,1,,25117578,IK,KG
3000237,PC,1,1,,25117585,IK,KG
3000238,PC,1,1,,25117592,IK,KG
3000239,PC,1,1,,25117608,IK,KG
3000240,PC,1,1,,25117615,IK,KG
3000241,PC,1,1,,25117622,IK,KG
3000242,set,1,1,,25117639,IK,KG
3000243,set,1,1,,25117646,IK,KG
3000244,set,1,1,,25117653,IK,KG
3000244,TR,10,1,,25117660,IK,
3000245,set,1,1,,25117684,IK,
3000245,PC,1,1,,25117677,IK,KG
3000248,set,1,1,,25117707,IK,
3000248,PC,1,1,,25117691,IK,KG
3000249,BOX,200,1,,25117721,IK,
3000249,PC,1,1,,25117714,IK,KG
3000250,BOX,160,1,,25117745,IK,
3000250,PC,1,1,,25117738,IK,KG
3000251,BOX,432,1,,25117769,IK,
3000251,PC,1,1,,25117752,IK,KG
3000252,set,1,1,,25117783,IK,
3000252,PC,1,1,,25117776,IK,KG
3000253,BOX,18,1,,25117806,IK,
3000253,PC,1,1,,25117790,IK,KG
3000254,set,1,1,,25117813,IK,KG
3000255,BOX,6,1,,25117837,IK,
3000255,PC,1,1,,25117820,IK,KG
3000256,BOX,6,1,,25117851,IK,
3000256,PC,1,1,,25117844,IK,KG
3000257,BOX,6,1,,25117875,IK,
3000257,PC,1,1,,25117868,IK,KG
3000258,BOX,6,1,,25117899,IK,
3000258,PC,1,1,,25117882,IK,KG
3000259,set,1,1,,25117905,IK,KG
3000260,set,1,1,,25117912,IK,KG
3000264,PC,1,1,,25117929,IK,KG
3000265,PC,1,1,,25117936,IK,KG
3000266,BOX,1,1,,25331899,IK,
3000266,PC,1,1,,25331882,IK,KG
3000267,BOX,250,1,,25331875,IK,
3000267,PC,1,1,,25331868,IK,KG
3000268,BOX,250,1,,25331851,IK,
3000268,PC,1,1,,25331844,IK,KG
3000270,PC,1,1,,25117974,IK,KG
3000271,PC,1,1,,25117981,IK,KG
3000272,set,1,1,,25117998,IK,KG
3000273,PC,1,1,,25118001,IK,KG
3000274,set,1,1,,25118018,IK,KG
3000276,set,1,1,,25118025,IK,KG
3000277,PC,1,1,,25118032,IK,KG
3000278,PC,1,1,,25118049,IK,KG
3000279,set,1,1,,25118056,IK,KG
3000280,PC,1,1,,25118063,IK,KG
3000281,set,1,1,,25292794,IK,
3000281,PC,1,1,,25118070,IK,KG
3000282,set,1,1,,25292800,IK,
3000282,PC,1,1,,25118087,IK,KG
3000283,set,1,1,,25292817,IK,
3000283,PC,1,1,,25118094,IK,KG
3000284,PC,1,1,,25118100,IK,KG
3000285,PC,1,1,,25118117,IK,KG
3000286,PC,1,1,,25118124,IK,KG
3000287,set,1,1,,25118131,IK,KG
3000288,set,1,1,,25118155,IK,
3000288,PC,1,1,,25118148,IK,KG
3000289,PC,1,1,,25118162,IK,KG
3000290,PC,1,1,,25118179,IK,KG
3000291,PC,1,1,,25118186,IK,KG
3000292,PC,1,1,,25118193,IK,KG
3000293,PC,1,1,,25118209,IK,KG
3000294,PC,1,1,,25118216,IK,KG
3000295,PC,1,1,,25118223,IK,KG
3000296,PC,1,1,,25118230,IK,KG
3000297,PC,1,1,,25118247,IK,KG
3000298,PC,1,1,,25118254,IK,KG
3000299,PC,1,1,,25118261,IK,KG
3000300,PC,1,1,,25118278,IK,KG
3000301,PC,1,1,,25118285,IK,KG
3000324,PC,1,1,,25118292,IK,KG
3000325,PC,1,1,,25118308,IK,KG
3000326,PC,1,1,,25118315,IK,KG
3000327,PC,1,1,,25118322,IK,KG
3000328,BOX,100,1,,25118346,IK,
3000328,PC,1,1,,25118339,IK,KG
3000329,set,1,1,,25118360,IK,
3000329,PC,1,1,,25118353,IK,KG
3000330,PC,1,1,,25118377,IK,KG
3000331,PC,1,1,,25118384,IK,KG
3000332,BOX,16,1,,25118407,IK,
3000332,PC,1,1,,25118391,IK,KG
3000334,PC,1,1,,25118414,IK,KG
3000335,PC,1,1,,25118421,IK,KG
3000336,set,1,1,,25118438,IK,KG
3000337,set,1,1,,25118452,IK,
