mat_grp_code,mat_grp_desc,mat_grp_desc2
10100,WINE,WINE
10101,COFFEE,COFFEE
10102,COFFEE CREAMER,COFFEE CREAMER
10103,WATER,WATER
10104,POWDER JUICE,POWDER JUICE
10105,JUICE DRINK,JUICE DRINK
10106,COCOA POWDER,COCOA POWDER
10107,COCOA EXTRACT,COCOA EXTRACT
10108,MILK TEA,MILK TEA
10109,COMPOUND,COMPOUND
10110,COUVERTURE,COUVERTURE
10111,CHOCOLATE TOPPERS,CHOCOLATE TOPPERS
10112,RICE,RICE
10113,GUM,GUM
10114,ALMOND,ALMOND
10115,CASHEW,CASHEW
10116,NUTS,NUTS
10117,PEANUT,PEANUT
10118,PROCESSED PEANUT,PROCESSED PEANUT
10119,VITAMINS,VITAMINS
10120,WHIP TOPPING,WHIP TOPPING
10121,COLORING,COLORING
10122,ORANGE,ORANGE
10123,RED,RED
10124,MILK POWDER,MILK POWDER
10125,CREAM,CREAM
10126,MARGARINE,MARGARINE
10127,MILK FAT,MILK FAT
10128,BUTTER,BUTTER
10129,CHEESE,CHEESE
10130,MILK LIQUID,MILK LIQUID
10131,FRESH EGGS,FRESH EGGS
10132,CHILLED EGG WHITE,CHILLED EGG WHITE
10133,EGG WHITE POWDER,EGG WHITE POWDER
10134,EGG YOLK POWDER,EGG YOLK POWDER
10135,FROZEN EGG WHITE,FROZEN EGG WHITE
10136,FROZEN EGG YOLK POWD,FROZEN EGG YOLK POWDER
10137,EMULSIFIERS,EMULSIFIERS
10138,FATS,FATS
10139,OILS,OILS
10140,FILLINGS,FILLINGS
10141,FISH,FISH
10142,SHRIMP,SHRIMP
10143,PROCESSED FISH,PROCESSED FISH
10144,FLOUR,FLOUR
10145,STARCHES,STARCHES
10146,BREAD CRUMBS,BREAD CRUMBS
10147,MODIFIED STARCHES,MODIFIED STARCHES
10148,PRESERVATIVE,PRESERVATIVE
10149,ACID,ACID
10150,EXTRACT,EXTRACT
10151,COLOR ADDITIVES,COLOR ADDITIVES
10152,FRUIT COCKTAIL,FRUIT COCKTAIL
10153,BANANA,BANANA
10154,CHERRY,CHERRY
10155,COCONUT,COCONUT
10156,APPLE,APPLE
10157,MANGO,MANGO
10158,PEACH,PEACH
10159,STRAWBERRY,STRAWBERRY
10160,PROCESSED FRUITS,PROCESSED FRUITS
10161,PRETZEL,PRETZEL
10162,MARSHMALLOWS,MARSHMALLOWS
10163,CHOCO CHIPS,CHOCO CHIPS
10164,VERMICELLI,VERMICELLI
10165,OTHER GARNISHING,OTHER GARNISHING
10166,LEAVENING,LEAVENING
10167,PORK,PORK
10168,CHICKEN,CHICKEN
10169,BEEF,BEEF
10170,PROCESSED MEAT,PROCESSED MEAT
10171,PASTA,PASTA
10172,NOODLES,NOODLES
10173,SAUCES,SAUCES
10174,SPICES,SPICES
10175,SEASONINGS,SEASONINGS
10176,SWEETENER,SWEETENER
10177,SUGAR,SUGAR
10178,TVP & EXTENDERS,TVP & EXTENDERS
10179,VEGETABLES,VEGETABLES
10180,CORN,CORN
10181,MUSHROOM,MUSHROOM
10182,CARROT,CARROT
10183,PROCESSED VEGETABLE,PROCESSED VEGETABLE
10184,OTHER VEGETABLES,OTHER VEGETABLES
10185,ICE,ICE
10186,OTHER FLAVOR,OTHER FLAVOR
10187,VANILLA FLAVOR,VANILLA FLAVOR
10188,STRAWBERRY FLAVOR,STRAWBERRY FLAVOR
10189,MANGO FLAVOR,MANGO FLAVOR
10190,COFFEE FLAVOR,COFFEE FLAVOR
