mat_code,mat_desc,old_mat_code,mat_type,mat_grp_code,base_uom,order_uom,min_rem_shelf_life,total_shelf_life
3000001,FATS SPECIAL STEARIN,1210026,ROH,10138,KG,BOX,0,0
3000005,COCOA POWDER NATURAL CODE:100-NP-11,1240076,ROH,10106,KG,BAG,0,0
3000008,COCOA POWDER GB 78 ALKALIZED,1240121,ROH,10106,KG,BAG,0,0
3000009,COMPOUND CHOCOLATE DARK SLD2501 22000CTS,1240128,ROH,10109,KG,BOX,0,0
3000163,CAKE TOPPER CELEBRATE,7010523,ROH,10196,set,BOX,0,0
3000469,MILK INSTANT FULL CREAM,1130027,ROH,10125,KG,BG3,1,0
3000470,MILK SKIMMED (PURE),1130029,ROH,10124,KG,BG3,1,0
3000471,MILK WHEY POWDER,1130030,ROH,10124,KG,BG3,1,0
3000473,EGG LARGE WHOLE,1160001,ROH,10131,KG,PC,0,0
3000474,EGG WHITE POWDER HI WHIP,1160004,ROH,10134,KG,,1,0
3000475,EGG WHITE POWDER HI GEL,1160012,ROH,10134,KG,,1,0
3000477,OIL PALM,1210007,ROH,10139,KG,,1,0
3000480,FLAVOR VANILLA,1240019,ROH,10187,KG,CV,1,0
3000482,COCOA POWDER DE ZAAN 354,1240033,ROH,10106,KG,BG3,1,0
3000488,FLOUR ALL PURPOSE,1250006,ROH,10144,KG,BG3,1,0
3000489,FLOUR CAKE PRINCESS,1250011,ROH,10144,KG,BG3,1,0
3000495,COMPOUND CHOCO WHITE DROPLETS,1280018,ROH,10109,KG,,1,0
3000499,SUGAR DEXTROSE MONOHYDRATE,1750011,ROH,10176,KG,BG3,1,0
3000501,SUGAR REFINED,1750017,ROH,10177,KG,BAG,1,0
3000502,BEVERAGE COFFEE NESCAFE CLASSIC,1030007,ROH,10101,KG,CA1,1,0
3000513,BUTTER UNSALTED,1130006,ROH,10128,KG,CA1,1,0
3000517,MARGARINE DARI CREAM CLASSIC,1130020,ROH,10126,KG,C20,1,0
3000519,EGG MEDIUM,1160002,ROH,10131,PC,,0,0
3000521,EGG WHITE CHILLED (COMMERCIAL),1160013,ROH,10132,KG,,1,0
3000523,MILK ANHYDROUS MILK FAT,1210003,ROH,10127,KG,DR,1,0
3000525,OIL SOYA,1210010,ROH,10139,KG,,1,0
3000527,OIL COCONUT,1210025,ROH,10139,KG,,1,0
3000528,FILLING CHERRY PIE,1220002,ROH,10140,KG,PAI,1,0
3000532,FLAVOR COFFEE POWDER CAFE PURO,1240036,ROH,10101,KG,CA1,1,0
3000533,COMPOUND CHOCOLATE CHIPS SLD2501,1240037,ROH,10109,KG,C07,1,0
3000535,FLAVOR COCOA EXTRACT 3700 PROCAO,1240126,ROH,10107,KG,PAI,1,0
3000536,FLOUR SOFT,1250014,ROH,10144,KG,BG3,1,0
3000538,COMPOUND CHOCO CHIPS SPECIAL (RICOA),1280020,ROH,10163,KG,CA1,1,0
3000539,DECOR CHERRY W/ STEM (RED),1280046,ROH,10154,KG,,1,0
3000540,COMPOUND DECOR MAYFAIR CHOCO DROPLETS,1280052,ROH,10109,KG,,1,0
3000541,MARSHMALLOW MINI-MINI WHITE,1280092,ROH,10162,KG,CV,1,0
3000542,NUTS CASHEW TOASTED (MEDIUM),1280095,ROH,10115,KG,,1,0
3000545,MARSMALLOW DARK SWEET CHOCO COATED,1280167,ROH,10162,PC,CV,1,0
