mat_code,plant,valuation_price,valid_from,valid_to
3000001,P100,97.43,2024-07-01,2024-12-31
3000003,P100,142.50,2024-07-01,2024-12-31
3000004,P100,1002.50,2024-07-01,2024-12-31
3000005,P100,178.95,2024-07-01,2024-12-31
3000006,P100,226.10,2024-07-01,2024-12-31
3000008,P100,212.50,2024-07-01,2024-12-31
3000009,P100,210.00,2024-07-01,2024-12-31
3000010,P100,110.49,2024-07-01,2024-12-31
3000011,P100,25.00,2024-07-01,2024-12-31
3000012,P100,96.43,2024-07-01,2024-12-31
3000013,P100,540.00,2024-07-01,2024-12-31
3000014,P100,107.14,2024-07-01,2024-12-31
3000017,P100,714.29,2024-07-01,2024-12-31
3000018,P100,982.14,2024-07-01,2024-12-31
3000019,P100,714.29,2024-07-01,2024-12-31
3000021,P100,120.54,2024-07-01,2024-12-31
3000022,P100,42.49,2024-07-01,2024-12-31
3000025,P100,0.00,2024-07-01,2024-12-31
3000027,P100,96.39,2024-07-01,2024-12-31
3000028,P100,714.29,2024-07-01,2024-12-31
3000029,P100,1696.45,2024-07-01,2024-12-31
3000159,P100,61.95,2024-07-01,2024-12-31
3000160,P100,58.14,2024-07-01,2024-12-31
3000161,P100,58.74,2024-07-01,2024-12-31
3000163,P100,31.25,2024-07-01,2024-12-31
3000164,P100,26.61,2024-07-01,2024-12-31
3000165,P100,27.37,2024-07-01,2024-12-31
3000166,P100,31.31,2024-07-01,2024-12-31
3000167,P100,32.45,2024-07-01,2024-12-31
3000168,P100,30.90,2024-07-01,2024-12-31
3000169,P100,27.19,2024-07-01,2024-12-31
3000170,P100,14.57,2024-07-01,2024-12-31
3000171,P100,9.99,2024-07-01,2024-12-31
3000172,P100,13.29,2024-07-01,2024-12-31
3000173,P100,13.77,2024-07-01,2024-12-31
3000174,P100,80.78,2024-07-01,2024-12-31
3000175,P100,9.61,2024-07-01,2024-12-31
3000176,P100,10.57,2024-07-01,2024-12-31
3000177,P100,14.39,2024-07-01,2024-12-31
3000178,P100,15.60,2024-07-01,2024-12-31
3000179,P100,241.41,2024-07-01,2024-12-31
3000180,P100,1.51,2024-07-01,2024-12-31
3000181,P100,1.51,2024-07-01,2024-12-31
3000182,P100,30.90,2024-07-01,2024-12-31
3000183,P100,18.98,2024-07-01,2024-12-31
3000184,P100,1196.83,2024-07-01,2024-12-31
3000185,P100,71.97,2024-07-01,2024-12-31
3000186,P100,10.79,2024-07-01,2024-12-31
3000187,P100,45.58,2024-07-01,2024-12-31
3000188,P100,157.46,2024-07-01,2024-12-31
3000189,P100,27.38,2024-07-01,2024-12-31
3000198,P100,1092.96,2024-07-01,2024-12-31
