Supplier,Account group,Tax Number 1,Tax Number 2,Name 1,Name 2,Name 3,Name 4,Search term,City,Country,District,Postal Code,Street,Address,City2,Telephone 1,Telephone 2,VAT Registration No.,
100004,Z001,1726553000,,ANSI CORPORATION,,,,ANSI CORPO,Quezon,PH,,1116,No. 32 Lot 3B & 3C Arty 1 St. Brgy.,26595,QUEZON,983099798,34543340,,
100011,Z001,7923682000,,ASCO MARKETING CORPORATION,,,,ASCO MARKE,Quezon,PH,,1105,"8 Ilagan Street, Barangay Paltok",26602,QUEZON,3718131,83718182,,
100015,Z001,3459586000,,ALL ASIAN COUNTERTRADE INC.,,,,ALL ASIAN,Makati City,PH,,1223,6/F Cacho Gonzales Bldg 101 Aguirre,26606,MAKATI CITY,6515714,9566691273,,
100017,Z001,7851927000,,AXELUM RESOURCES CORP.,,,,AXELUM RES,Misamis Oriental,PH,,9000,"Ics Bldg., Tiano-Montalvan Sts., Ca",26608,MISAMIS ORIENTAL,88510717,9778030677,,
100033,Z001,2.01678E+11,,BRENNTAG INGREDIENTS INC.,,,,BRENNTAG I,Muntinlupa,PH,,1780,"16Th Flr Asian Star Bldg, Asean Dri",26624,MUNTINLUPA,8129385 LOCAL...,,,
100044,Z001,254013000,,"COMMODITY QUEST, INC.",,,,COMMODITY,"Tabaco City, Albay",PH,,4511,"P-4 Arellano St., Ziga Avenue, Tayh",26635,"TABACO CITY, ALBAY",87069966,9175136610,,
100045,Z001,112370000,,COMMONWEALTH FOODS INCORPORATED,,,,COMMONWEAL,Makati,PH,,1203,Comfoods Bldg.  Sen Gil Puyat Ave S,26636,MAKATI,88445661,9222008267,,
100057,Z001,4504128000,,"DANE INTERNATIONAL COMMODITIES, INC",,,,DANE INTER,San Juan,PH,,1500,168 Hillside St Bgy Pasadena San Ju,26698,SAN JUAN,7220472,87226462,,
100058,Z001,4632056000,,"DYNAPAK PHILS., INC.",,,,DYNAPAK PH,San Juan,PH,,1530,"170 P. Gomez St.,",26699,SAN JUAN,7151231 TO 36,7151035,,
100072,Z001,2.34562E+11,,DAFFID INDUSTRIES INCORPORATED,,,,DAFFID IND,San Juan City,PH,,1502,"802 Atlanta Centre, 31 Annapolis St",26713,SAN JUAN CITY,85840836,9778213661,,
100073,Z001,1.31238E+11,,DIMAX FOOD WHOLESALING,,,,DIMAX FOOD,Quezon City,PH,,1109,6 20Th Avenue San Roque Quezon City,26714,QUEZON CITY,,,,
100075,Z001,4714187000,,"EUROPRINT, INC.",,,,"EUROPRINT,",Marikina,PH,,1800,4 Armscor Ave. Fortune Fortune,26716,MARIKINA,9485997,9485999,,
100076,Z001,2.29628E+11,,EDISY TRADING CORP.,,,,EDISY TRAD,Caloocan,PH,,1400,171 C. Cordero St  West 4Th Ave Brg,26717,CALOOCAN,3611893,3614417,,
100077,Z001,2724526000,,ESV INTERNATIONAL CORPORATION,,,,ESV INTERN,Manila,PH,,1002,"Block 4 Lot 2 First Tondo Complex,",26718,MANILA,2568834,82568836,,
100095,Z001,4515331000,,FONTERRA BRANDS PHIL. INC.,,,,FONTERRA B,Taguig,PH,,1630,"24/F Ore Central, 31St Street Corne",26736,TAGUIG,6881681 LOC 1664,86881690,,
100101,Z001,2833911000,,GARDEN CRAFTS INC.,,,,GARDEN CRA,Mandaluyong,PH,,1550,#7 Liko St. H-Way Hills,26792,MANDALUYONG,5335240,,,
100103,Z001,341698000,,GRANVILLE  INDL. CHEMICAL CORP.,,,,GRANVILLE,Manila City,PH,,1002,Rm 422 Calvo Bldg Escolta Sta Cruz,26794,MANILA CITY,,,,
100109,Z001,2.66497E+11,,GLOBAL PACIFIC DISTRIBUTION NETWORK,,,,GLOBAL PAC,Pasig,PH,,1605,U302 Millenium Palace Meralco Av Or,26800,PASIG,82685888,9175497107,,
100120,Z001,10549279000,,GPR INTERNATIONAL TRADING CORP.,,,,GPR INTERN,Taguig,PH,,1634,2-G The Sapphire Residences Condmin,26811,TAGUIG,,,,
100134,Z001,2727423000,,IMCD PHILIPPINES CORPORATION,,,,IMCD PHILI,Makati,PH,,1233,"9Th Floor, 2251 It Hub,  2251 Chino",26825,MAKATI,632 8930789,9178432601,,
100137,Z001,2.18848E+11,,INTEGRATED PACKAGING CORPORATION,,,,INTEGRATED,Caloocan,PH,,1400,14 8Th St  Cor Ligaya St  Bet 6Th &,26828,CALOOCAN,83639893,83639889,,
100138,Z001,2.33243E+11,,INNOVATRADE INGREDIENTS CORP,,,,INNOVATRAD,Manila,PH,,1066,"Suite 811 Pacific Ctr Bldg.,460 Qui",26829,MANILA,82427490,82427494,,
100144,Z001,1.15792E+11,,JADIS ENTERPRISES,,,,JADIS ENTE,Malabon,PH,,1012,"10 Orange Road, Potrero",26835,MALABON,72169383,9175320079,,
100153,Z001,2.40408E+11,,KILLION MERCHANDISING CORP.,,,,KILLION ME,Manila,PH,,1001,42 Orosco St. Zone 030 Brgy. 306 Qu,26894,MANILA,87338221,9327882855,,
100161,Z001,2.11689E+11,,KHOROS ENTERPRISE INC.,,,,KHOROS ENT,Manila,PH,,1008,"1480 Vicente G Cruz St., Zone 048 B",26902,MANILA,9264920425,,,
100162,Z001,4623967001,,"LINK IMPORT-EXPORT ENTERPRISE, INC.",,,,LINK IMPOR,Quezon City,PH,,1112,"Unit B-24 No. 31B Santolan Rd., Val",26903,QUEZON CITY,82418555,,,
100164,Z001,5487594000,,LIMKETKAI MANUFACTURING CORPORATION,,,,LIMKETKAI,Rizal,PH,,1920,"No. 168 Velasquez Road, San Juan Ta",26905,RIZAL,7214401,85874012,,
100177,Z001,1336788000,,MULTIPLAST CORPORATION,,,,MULTIPLAST,Quezon,PH,,1100,"Mcy Building,1200 Edsa Cor. Seminar",26918,QUEZON,9285002,4546151,,
100184,Z001,4544299000,,MARKENBURG INTERNATIONAL FOODS,CORPORATION,,,MARKENBURG,Marilao,PH,,3019,Eldan Industrial Park Bo. Patubig,26925,MARILAO,028 5143016,,,
100197,Z001,2.29492E+11,,"MILKPACT PHILS., INC.",,,,MILKPACT P,Makati,PH,,1232,"7479 Baagtikan St., San Lorenzon Vi",26938,MAKATI,8130790,88172302,,
100199,Z001,9.34439E+11,,MASTER SEEDS ENTERPRISES,,"CELLO, KAHONG CO",,MASTER SEE,Manila,PH,,1010,"672 Elcano St., Brgy 271 Zone 25, S",26940,MANILA,9603548,9228432442,,
100201,Z001,5588853000,,MC RITZ INTERNATIONAL CORPORATION,,,,MC RITZ IN,Quezon,PH,,1103,"R 204 Cedar Exec. Bldg., #26 Timog",26992,QUEZON,9362254792,,,
100207,Z001,840139001,,"NECO PHILIPPINES, INCORPORATED",,,,NECO PHILI,Manila,PH,,1012,"1181 G. Masangkay St., Tondo",26998,MANILA,85587198,,,
100222,Z001,421965000,,"OLEO-FATS, INCORPORATED",,,,"OLEO FATS,",Quezon,PH,,1100,"#5 Mercury Avenue, Bagumbayan",27013,QUEZON,7096536 LOCAL...,,,
100224,Z001,3879307000,,PETAL CRAFT INTERNATIONAL INC.,,,,PETAL CRAF,Quezon,PH,,1100,10 William St Cubao,27015,QUEZON,7250593,84112078,,
100228,Z001,2763985000,,PURECHEM CORPORATION,,,,PURECHEM C,Navotas,PH,,1485,"348 Jorge St., San Rafael Village",27019,NAVOTAS,85231165,,,
100233,Z001,996219002,,PHILIPPINE FOREMOST MILLING CORP.,,,,PHILIPPINE,Manila,PH,,1635,"29F H-St.South Corp. Plaza Tower1,2",27024,MANILA,5167168,,,
100234,Z001,70877001,,PROFOOD INTERNATIONAL CORP,,,,PROFOOD IN,Cebu,PH,,6014,"Highway Maguikay, Mandaue",27025,CEBU,032 3461228,74390441,,
100242,Z001,8521632000,,A1+MULTINATIONAL PACKAGING INC.,,,,A1+MULTINA,Tarlac,PH,,2300,"Unit 4C Rl Bldg., San Roque",27033,TARLAC,9371479,9377345,,
100244,Z001,857872000,,"PHILIPPINE GUM PASTE, INC.",,,,PHILIPPINE,Quezon City,PH,,1109,"No. 40, 11Th Avenue Brgy., Socorro",27035,QUEZON CITY,9950716,82734588,,
100246,Z001,200196000,,QC STYROPACKAGING CORPORATION,,,,QC STYROPA,Quezon,PH,,1100,"Mcy Building,1200 Edsa Corner Semin",27037,QUEZON,9285002,9243796,,
100247,Z001,2.2053E+11,,QZINE MARKETING CORP.,,,,QZINE MARK,City of Antipolo Rizal,PH,,1870,Lot 11-C Cavalliers Vilage Sumulong,27038,CITY OF ANTIPOLO RIZAL,6555841,6557477,,
100248,Z001,10320586000,,QUALITYWYZE CORRUGATOR CORP.,,,,QUALITYWYZ,Valenzuela City,PH,,1444,No. 2E Quintana Ave. Tpi Cpd Sitio,27039,VALENZUELA CITY,9176030373,9176030373,,
100256,Z001,2.35887E+11,,RUSHMORE IMPORTS UNLIMITED INC.,,,,RUSHMORE I,Makati City,PH,,1204,"4378 Montojo St., Brgy Tejeros",27097,MAKATI CITY,8900385,8900385,,
100263,Z001,286989000,,"SYSU INTERNATIONAL, INC.",,,,SYSU INTER,Quezon,PH,,1100,145 Panay Ave. Cor Esguera St,27104,QUEZON,9205291 LOCAL...,9171262973,,
100264,Z001,2114724000,,STYROTECH CORP.,,,,STYROTECH,Meycauayan,PH,,3002,"18 Main Rd., Muralla Indstrial Park",27105,MEYCAUAYAN,3597165,9359800714,,
100265,Z001,2263988000,,SUCERE FOODS CORP.,,,,SUCERE FOO,Malolos Bulacan,PH,,3000,First Bulacan Industrial City Brgy,27106,MALOLOS BULACAN,9111366,89110170,,
100266,Z001,2.00597E+11,,"SWEET ART, INC.",,,,"SWEET ART,",Paranaque,PH,,1700,"4343 Clipper Ave., Bayview Village",27107,PARANAQUE,8539742,,,
100272,Z001,2.20994E+11,,SCALA PRINTING & PACKAGING INC.,,,,SCALA PRIN,Caloocan,PH,,1400,"5 Ilang-Ilang St.,",27113,CALOOCAN,5322020,5324720,,
